run_accession,fastq_ftp,fastq_md5,fastq_bytes
SRR3987311,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/001/SRR3987311/SRR3987311.fastq.gz,5ef38753123e318f554e034368977b85,1093884457
SRR3987312,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/002/SRR3987312/SRR3987312.fastq.gz,6753ec09dc4163dac61578da1653d9fa,1081963321
SRR3987313,ftp.sra.ebi.ac.uk/vol1/fastq/SRR398/003/SRR3987313/SRR3987313.fastq.gz,75828e3893b86177ec21ea8b46a7dcb3,1013228231
SRR5988248,ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5988248/SRR5988248.fastq.gz,d24d195f9eeb8f9cf98b3a4f0b86ebdc,1502276806
SRR5988247,ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5988247/SRR5988247.fastq.gz,a174ac97f375c82c8e632125d2a97bb5,1396901109
SRR5988246,ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5988246/SRR5988246.fastq.gz,2baa67a4b99f1fdf578b0ee1967917de,1312209919
SRR5988245,ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5988245/SRR5988245.fastq.gz,bd192028278c9353b75093512837df97,1492300669
SRR5988244,ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988244/SRR5988244.fastq.gz,e1491c2149ab3c6012b4422ce796cfd7,1381986321
SRR5988243,ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5988243/SRR5988243.fastq.gz,fc19234c1cc8fb6c93db491dff8375cc,1381963573
SRR10269732,ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/032/SRR10269732/SRR10269732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/032/SRR10269732/SRR10269732_2.fastq.gz,a99735e3d4a2befef3f3ea9f767aeefa;407841a6f4b43cb06fe79ed4d2e245ee,1897736485;1960318878
SRR10269731,ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/031/SRR10269731/SRR10269731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/031/SRR10269731/SRR10269731_2.fastq.gz,3cfba359941a9658d7802ac6325619e5;8e4314fe5b4972b38f32abf64197be1c,2174007856;2231000182
SRR10269730,ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/030/SRR10269730/SRR10269730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/030/SRR10269730/SRR10269730_2.fastq.gz,3cd5d820fe0aba42fa3e9356b27e945e;e60701bab0b483dcab6d47fade85f8cf,1837156863;1887708718
SRR10269729,ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/029/SRR10269729/SRR10269729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/029/SRR10269729/SRR10269729_2.fastq.gz,0463bb2f0eda70b2dfbd70ba86a06e59;7b01790d5838a4248d77d11d3a06f1be,2172817555;2215727670
SRR10269728,ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/028/SRR10269728/SRR10269728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/028/SRR10269728/SRR10269728_2.fastq.gz,a110c6c4348a3ec01fa20216da5b89bf;42aec9e0f10878ff12ea7b227e92a348,1957065715;2006644859
SRR10269727,ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/027/SRR10269727/SRR10269727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/027/SRR10269727/SRR10269727_2.fastq.gz,075c7a3df2fbfadfdf86667e9a9d103c;74ae52000e9e6e7b24b81a24131ea719,2057257939;2110346713
