gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,up_down
CHLRE_01g025850v5,2025.2401065731788,-2.069392705854684,0.1452158803487017,-14.250457325228655,4.453551460555652e-46,1.3353366752004227e-43,DOWN
CHLRE_01g025950v5,9.115578134644048,-2.2375466517330502,0.7081835841002795,-3.1595573548570304,0.001580089967785308,0.00528974089702548,DOWN
CHLRE_01g026200v5,75.86301775693487,-1.5819010897224717,0.25107409462692554,-6.300534876260493,2.9662025725031105e-10,4.103661629458791e-9,NONE
CHLRE_01g026700v5,6.829691298611222,2.537943479524505,0.8726272954680091,2.9083934145829695,0.0036329099224824326,0.01096856783809187,UP
CHLRE_01g026950v5,263.6136982640366,-1.1316713865388326,0.15718684491266388,-7.1995298790278,6.042051584625415e-13,1.2692926456313086e-11,NONE
CHLRE_01g027300v5,394.95085005630773,3.536136961548224,0.6880627987656412,5.139264857643693,2.7581540249437855e-7,2.232926756276287e-6,UP
CHLRE_01g028300v5,1972.2401592883427,-1.3305989967581724,0.21085714432287492,-6.310428802548389,2.7826340332075175e-10,3.859412770531974e-9,NONE
CHLRE_01g028500v5,219.61589973684343,1.3153087113023094,0.2399189704677271,5.482303915934982,4.1982220755741975e-8,3.983479876196438e-7,NONE
CHLRE_01g029250v5,1921.7851894629682,-2.0301336661346023,0.27016142080888617,-7.5145209854767945,5.711968654768586e-14,1.397567879611109e-12,DOWN
CHLRE_01g029700v5,7389.4003907630495,3.0117472780388495,0.2649537485494715,11.367068005367372,6.100242416637115e-30,8.178788430305908e-28,UP
CHLRE_01g029950v5,1060.7913629721827,1.4691595652182439,0.4312275429026303,3.406924231530301,6.569936242903466e-4,0.0024457069657273373,NONE
CHLRE_01g030100v5,35.026918896463954,1.1158507021717536,0.3280533183554229,3.4014309252095636,6.703406700048714e-4,0.0024903329554066982,NONE
CHLRE_01g030150v5,169.39342381022846,1.013089586043002,0.26959745299626975,3.757786191166352,1.7142325551351917e-4,7.453047473433811e-4,NONE
CHLRE_01g030300v5,825.2486266317081,-1.3738710140437842,0.14514349406019256,-9.465605213238323,2.918659286482124e-21,1.769544496080026e-19,NONE
CHLRE_01g030400v5,19.61815497022604,1.5391861674781044,0.5314600808119287,2.8961463392069637,0.0037777618834477587,0.011341538543589475,NONE
CHLRE_01g030700v5,873.2580649594195,-1.1222994470421521,0.13933883658685361,-8.054462593008612,7.98287651606842e-16,2.546336878655403e-14,NONE
CHLRE_01g030750v5,830.2196439822939,-1.2074965629278134,0.13786348458667294,-8.758639508844537,1.976210282768276e-18,8.644478454411575e-17,NONE
CHLRE_01g031100v5,8813.420052482204,-1.1196990875806563,0.18026403027105298,-6.211439330947096,5.250146114216282e-10,7.0219107517875675e-9,NONE
CHLRE_01g031350v5,25.317945344006816,1.1619359952157498,0.4015348536857158,2.893736333347554,0.003806876846057105,0.011416476826391657,NONE
CHLRE_01g031450v5,43.07998148282229,1.6107348203778589,0.32254292537446666,4.993861882128787,5.918373049080776e-7,4.5289972135680314e-6,NONE
CHLRE_01g031700v5,307.93642540347327,1.25532970088598,0.18990554175248814,6.610284719979915,3.835815581477917e-11,6.168055883456867e-10,NONE
CHLRE_01g031900v5,136.09950030459626,-1.0593134030261195,0.2197776425087779,-4.819932505117351,1.436067983113256e-6,1.0073244198009658e-5,NONE
CHLRE_01g031951v5,28.09298732519375,-1.0113999213665228,0.4049400800409606,-2.497653285553303,0.012501840204210971,0.03174881705105885,NONE
CHLRE_01g032000v5,182.72198492231092,-1.4873542343240433,0.22661577665659852,-6.563330480639487,5.26190486770906e-11,8.264197445084772e-10,NONE
CHLRE_01g032700v5,942.4521130400458,1.217718183896243,0.1486574373876337,8.191438015448668,2.5812334393630107e-16,8.740681858015484e-15,NONE
CHLRE_01g032900v5,527.3401850303134,-1.3661311648739243,0.19792743158335224,-6.902182046951951,5.120974892857053e-12,9.57482958708681e-11,NONE
CHLRE_01g033091v5,1063.3907632837656,-1.2418184330389324,0.20122800806468566,-6.171200743783858,6.777330768605544e-10,8.86320076963315e-9,NONE
CHLRE_01g033450v5,49.41504761721861,1.7709625685040469,0.2946016066960689,6.011381228925519,1.8394925634833296e-9,2.230686969399093e-8,NONE
CHLRE_01g033500v5,27.944332355766853,1.6237543766985811,0.39206352254042737,4.141559424292396,3.449524733361236e-5,1.77104957589851e-4,NONE
CHLRE_01g033550v5,1266.3641381383618,1.0117238283246701,0.24826345289146787,4.0752024373356335,4.597433545884605e-5,2.2891387863883763e-4,NONE
CHLRE_01g034380v5,70.20324502982032,-1.3746351651844897,0.2940685891698964,-4.67453925992178,2.946142752190871e-6,1.9318027883252348e-5,NONE
CHLRE_01g034650v5,29.621036977328234,1.443906761816715,0.3873482993216071,3.7276703275722136,1.9325794752311412e-4,8.262942215721222e-4,NONE
CHLRE_01g034850v5,429.6942161235462,1.7576952620941346,0.1682920427640756,10.444315923826556,1.55572926335099e-25,1.409644575929735e-23,NONE
CHLRE_01g035050v5,22.924123136753238,-1.5608718710295548,0.42888675953172617,-3.6393566281546446,2.733200601375238e-4,0.0011251425640858475,NONE
CHLRE_01g035100v5,3763.907808762007,-1.5338014500565789,0.12449694060696138,-12.319993106487749,7.070033314081493e-35,1.2954657709168654e-32,NONE
CHLRE_01g036250v5,1268.5497800349472,-1.4382977834861075,0.22669569100035616,-6.344618978592971,2.2297660720915122e-10,3.1536082585644193e-9,NONE
CHLRE_01g037300v5,193.84705188651668,-2.4918272168195994,0.21919139042676006,-11.368271408690255,6.0167324876097226e-30,8.13294552894852e-28,DOWN
CHLRE_01g037600v5,33.51643888586084,-1.0788861550996116,0.3404323380839217,-3.169164719109763,0.0015287772763730955,0.005138823086968756,NONE
CHLRE_01g037650v5,92.26926546292914,1.1143757323763577,0.27114681331776086,4.109861070247596,3.9589723217567705e-5,2.0076080122414177e-4,NONE
CHLRE_01g037850v5,3820.24284787966,-1.367350235371273,0.15456133208903336,-8.846651467675148,9.018449659618956e-19,4.131201481577116e-17,NONE
CHLRE_01g038151v5,42.784899674724784,1.0796502787419333,0.3191190328625212,3.383221204506014,7.164090397431039e-4,0.0026377096392952728,NONE
CHLRE_01g039050v5,107.7223799944586,-1.0117500034749123,0.21638307518704641,-4.675735394740705,2.9290208014732058e-6,1.9244016747846468e-5,NONE
CHLRE_01g039350v5,322.9005732550552,1.376909350032888,0.1805581017782394,7.625851936148518,2.424279596294051e-14,6.23694146996649e-13,NONE
CHLRE_01g039450v5,66.19449911770467,4.850332489202255,0.465610881657037,10.417137314189635,2.0709280890805003e-25,1.8560692998383983e-23,UP
CHLRE_01g039600v5,16.950710474873684,1.9408170915170773,0.5169748562231371,3.7541808236015646,1.7390928958126785e-4,7.551179816968637e-4,NONE
CHLRE_01g039850v5,889.4037732560216,-1.6400643728886117,0.1669134583143084,-9.825836630862137,8.714737114524435e-23,6.22141687253777e-21,NONE
CHLRE_01g040150v5,165.24306369417087,1.5730362410295133,0.32702205755914876,4.810183914719565,1.507914847323439e-6,1.0536874469157133e-5,NONE
CHLRE_01g040750v5,3566.471184522874,-1.0716157501716426,0.15415350797478508,-6.951614428047443,3.61129310379981e-12,6.924864485437518e-11,NONE
CHLRE_01g041200v5,773.6897701754066,-1.8463173502829313,0.2565502573818996,-7.196708236135235,6.168355626430432e-13,1.2924510201559922e-11,NONE
CHLRE_01g041650v5,126.27745093412766,-1.1967927168629555,0.23139142808747917,-5.1721566643795445,2.3140743520348e-7,1.9052121886872634e-6,NONE
CHLRE_01g041752v5,14.989927592136103,1.4715584736589151,0.498594642957437,2.951412524070252,0.0031632413184988955,0.009743185017438418,NONE
CHLRE_01g041900v5,56.716594035988706,1.1801857179115292,0.25401826121650223,4.6460664373481615,3.3832408494289742e-6,2.184535037115631e-5,NONE
CHLRE_01g042000v5,84.21333837688242,-1.2966771313969816,0.3080707822668284,-4.209023399933768,2.5647682912730394e-5,1.3582400093572157e-4,NONE
CHLRE_01g042050v5,205.30975969153042,-1.0194563701338708,0.1577848320691248,-6.461054315330207,1.0397598763083379e-10,1.561628426247796e-9,NONE
CHLRE_01g042700v5,3.2831127408678418,3.8651004511980283,1.4049297012840243,2.7510988255608453,0.005939572160150134,0.016754958004282564,UP
CHLRE_01g042750v5,42771.18867886868,-1.0077860013367153,0.14238283295846357,-7.078002174817733,1.4624743112292769e-12,2.926900954670146e-11,NONE
CHLRE_01g043050v5,1272.4075776233433,-2.0327639983486767,0.13866696568396314,-14.659324146325979,1.1743605870942471e-48,3.952322539136985e-46,DOWN
CHLRE_01g043250v5,240.5845997330901,-1.5212847459429883,0.23316905346126665,-6.524385304826481,6.828097609746295e-11,1.054327319122904e-9,NONE
CHLRE_01g043550v5,189.6700713116445,1.0803707609179722,0.23979266808894495,4.505437007428585,6.623648649730859e-6,3.987973343655042e-5,NONE
CHLRE_01g043950v5,709.1273751614578,-1.1572006016342808,0.1753586778861504,-6.599049534267018,4.1380205029070964e-11,6.612412414093113e-10,NONE
CHLRE_01g044300v5,57.091080726891754,-3.613805701766801,0.3741250763327971,-9.65935172587094,4.486942746592771e-22,3.007893204636642e-20,DOWN
CHLRE_01g045902v5,177.67917883775985,-1.0805562022233577,0.2024173972466461,-5.338257565414189,9.384408158490277e-8,8.383438512549466e-7,NONE
CHLRE_01g046652v5,434.64529976653483,-1.010625523853806,0.17696486750316903,-5.710882267836061,1.1239198014760963e-8,1.19887202109588e-7,NONE
CHLRE_01g045650v5,3445.6615807083713,-1.1395862921895927,0.22933490410598079,-4.969092239282357,6.726706762855995e-7,5.0922100939088225e-6,NONE
CHLRE_01g045700v5,270.03350027503876,1.0090596870540962,0.13031795802175355,7.743059378552088,9.705268761168e-15,2.6280720384305666e-13,NONE
